,,,,,,,,,,,,,,
Area,mnemonic,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ladu:Central Bedfordshire,E06000056,26453,24373,23531,22696,24844,25818,25584,25233,25389,27904,28860,30403,30625
ladu:Luton,E06000032,26451,26660,26317,26277,24653,25814,25763,28729,29686,31935,29455,32243,33804
ladu:Peterborough,E06000031,24096,24768,24632,25345,25939,27036,26655,26575,26997,25591,27133,28771,29940
ladu:Southend-on-Sea,E06000033,22901,#,23691,24202,24285,24821,26190,24455,26026,25249,26659,27358,27641
ladu:Thurrock,E06000034,#,24493,25245,25793,25178,26182,24303,25604,25372,27509,27885,29989,30801
ladu:Cambridge,E07000008,27369,28120,28555,28894,29143,31227,29840,30681,31917,31777,33180,34224,34624
ladu:East Cambridgeshire,E07000009,23275,23684,23949,23352,#,25907,#,25775,26348,27904,26257,28091,#
ladu:Fenland,E07000010,21360,22788,19958,23297,23664,23120,24317,24232,24641,24589,21823,23234,26574
ladu:Huntingdonshire,E07000011,24328,25768,25926,26152,26133,26591,27079,26053,27358,28445,28855,29633,30512
ladu:South Cambridgeshire,E07000012,31764,31481,32074,30370,32750,31635,33346,33338,32744,33246,35220,37136,37028
ladu:Basildon,E07000066,25741,26047,25362,26513,28478,29017,27998,28508,28551,27265,27675,31429,31947
ladu:Braintree,E07000067,23158,22950,23631,24790,24628,26483,25861,26988,29088,27896,27049,28359,29259
ladu:Brentwood,E07000068,26564,27842,26934,26966,28501,30434,31580,30741,31351,36022,32483,33040,#
ladu:Castle Point,E07000069,22265,#,19133,18825,21233,20674,21638,21403,23823,25341,27684,27846,27083
ladu:Chelmsford,E07000070,25697,26674,27179,27296,27422,27654,25689,27571,27295,28807,28762,30815,32680
ladu:Colchester,E07000071,22936,24556,24761,24104,24954,25021,25202,25116,26438,28686,28398,28739,28775
ladu:Epping Forest,E07000072,29431,29179,25875,26940,27932,26474,28874,28606,28875,29652,31205,32911,32465
ladu:Harlow,E07000073,33321,30309,27991,27854,28678,27073,#,#,27721,29996,#,31061,31351
ladu:Maldon,E07000074,24183,25115,24884,28209,25771,#,#,25026,#,#,27923,26830,27500
ladu:Rochford,E07000075,23439,24266,22282,22180,22058,#,24083,26971,23742,26870,28111,32250,28745
ladu:Tendring,E07000076,19091,19365,21223,20529,22296,22730,24929,25047,23156,24241,25269,27212,28222
ladu:Uttlesford,E07000077,26366,25921,27753,27770,26397,25851,27336,26710,28868,28837,#,30932,32533
ladu:Broxbourne,E07000095,24945,24540,24424,26160,25149,27431,28545,28866,26097,#,31525,30927,30066
ladu:Dacorum,E07000096,29562,28244,27998,27812,28015,27754,27579,26116,30031,29013,30941,30798,30666
ladu:East Hertfordshire,E07000242,24278,25699,26471,26824,#,30138,29041,30187,31107,29458,31204,32433,32275
ladu:Hertsmere,E07000098,26585,29395,32299,26272,30270,29505,28261,#,30751,31670,31760,31295,#
ladu:North Hertfordshire,E07000099,26125,27306,27907,27401,27568,27865,28786,31128,30031,32506,30924,34299,32926
ladu:St Albans,E07000240,27977,29860,27509,27587,27659,25861,28992,29311,28949,31202,32098,32940,33817
ladu:Stevenage,E07000243,26898,28527,29078,30704,31841,29656,31892,32961,33650,34686,33532,35429,#
ladu:Three Rivers,E07000102,36589,32811,33472,32222,31466,31626,31010,30448,33164,33589,34592,34022,29982
ladu:Watford,E07000103,26432,27080,26251,24589,#,29391,29905,26397,30428,28202,29135,30448,33662
ladu:Welwyn Hatfield,E07000241,30138,29559,29528,26159,29020,28588,29954,30288,31578,32959,33695,34998,36936
ladu:Breckland,E07000143,20680,21059,21137,21877,24490,22177,22299,21709,24281,22369,24515,25142,26597
ladu:Broadland,E07000144,22946,22377,22570,22231,23833,24607,24614,25386,23744,#,26539,28652,29861
ladu:Great Yarmouth,E07000145,23971,24559,23708,25196,26086,25563,#,26912,28743,25672,#,28416,29351
ladu:King's Lynn and West Norfolk,E07000146,22981,22465,22051,24483,24794,23686,26452,25803,26119,25278,26660,29479,28981
ladu:North Norfolk,E07000147,19578,20027,20820,21343,20984,20952,#,24303,25353,24480,25054,#,28678
